Time,LeftKnee.y,RightKnee.y
3.4926669,-0.2783555,-0.2796114
3.5536704,-0.2783428,-0.2796226
3.5706703,-0.2783352,-0.2796273
3.5986727,-0.2783327,-0.2796314
3.6296751,-0.2783315,-0.2796321
3.6626769,-0.2783418,-0.2796325
3.7136796,-0.2783504,-0.2796311
3.7296804,-0.2783756,-0.2796291
3.7636825,-0.278435,-0.2796225
3.7966854,-0.2784849,-0.2796116
3.8306864,-0.2785174,-0.2796039
3.8636885,-0.2785465,-0.279597
3.8916906,-0.2785746,-0.27959
3.9536939,-0.2785899,-0.2795834
3.9966957,-0.2786031,-0.2795758
4.0306981,-0.2786598,-0.2795567
4.0637003,-0.2786838,-0.279535
4.0917050,-0.278695,-0.2795131
4.1517067,-0.2786993,-0.2794905
4.1677071,-0.278684,-0.2794662
4.1957083,-0.2786632,-0.279442
4.2277098,-0.2786396,-0.2794181
4.2607120,-0.2786121,-0.2793923
4.3117148,-0.2786047,-0.2793661
4.3557187,-0.2785978,-0.27934
4.3717176,-0.2785721,-0.2793103
4.3997211,-0.2785295,-0.2792807
4.4307220,-0.2784502,-0.2792467
4.4647279,-0.2783808,-0.279203
4.4927253,-0.2783075,-0.2791604
4.5567292,-0.2784249,-0.2789972
4.5997313,-0.2785579,-0.2788684
4.6307342,-0.2786572,-0.2785818
4.6607348,-0.2787401,-0.2783235
4.6937374,-0.2787415,-0.2781055
4.7307395,-0.2780209,-0.2778292
4.7627448,-0.2764205,-0.2770517
4.7947437,-0.2752274,-0.2768607
4.8297460,-0.2765147,-0.2778504
4.8627482,-0.2817645,-0.2840916
4.8967491,-0.291963,-0.2937036
4.9337516,-0.3022426,-0.3041187
4.9667542,-0.3119335,-0.3130335
4.9997564,-0.3223255,-0.3257632
5.0357575,-0.3303677,-0.3360909
5.0667599,-0.3355622,-0.3421399
5.0977612,-0.3381649,-0.3448982
5.1327639,-0.3337152,-0.3347603
5.1667660,-0.2997899,-0.3032829
5.2017679,-0.2451714,-0.2579671
5.2387700,-0.1994881,-0.2005079
5.2727725,-0.1351783,-0.1307724
5.3047771,-0.04820444,-0.05203152
5.3397764,0.04472934,0.06732205
5.3717779,0.1310392,0.173953
5.4037794,0.1235082,0.180171
5.4377823,0.1710283,0.2201117
5.4707841,0.2491148,0.263987
5.5027852,0.2721207,0.2593277
5.5357867,0.1841682,0.2021086
5.5677894,0.1602889,0.1304055
5.6017922,0.1015524,0.09304149
5.6377937,-0.01309905,0.01228518
5.6727968,-0.1592346,-0.1312309
5.7087974,-0.2763029,-0.2552668
5.7467994,-0.2798284,-0.2931216
5.7818021,-0.3047627,-0.3028792
5.8178043,-0.3196685,-0.3199899
5.8588075,-0.3490203,-0.3699934
5.8948086,-0.3633716,-0.3981409
5.9298105,-0.3711852,-0.4101327
5.9668126,-0.3764557,-0.4148409
5.9998156,-0.3775967,-0.4143617
6.0318167,-0.3697274,-0.3990194
6.0678186,-0.3451958,-0.3657251
6.1008211,-0.3183708,-0.3364867
6.1348224,-0.2887847,-0.304001
6.1728248,-0.2687874,-0.2782452
6.2068269,-0.2584057,-0.2662431
6.2418292,-0.2546779,-0.258624
6.2788313,-0.2571902,-0.2556171
6.3128342,-0.2619106,-0.2553062
6.3468385,-0.2664959,-0.2556278
6.3838383,-0.2695769,-0.2564243
6.4168401,-0.2717049,-0.2575385
6.4478414,-0.273168,-0.2592035
6.4828461,-0.2744355,-0.2613555
6.5138504,-0.2757348,-0.2638512
6.5458473,-0.2769732,-0.2660369
6.5788495,-0.2780619,-0.2679455
6.6098508,-0.2788475,-0.2694424
6.6398534,-0.2794636,-0.2705884
6.6718557,-0.2799229,-0.2714908
6.7018563,-0.280277,-0.27255
6.7318585,-0.2805266,-0.2736167
6.7638612,-0.2807155,-0.2745649
6.7928631,-0.2808516,-0.2753431
6.8218634,-0.2809443,-0.2760076
6.8818674,-0.2810089,-0.2766013
6.9118688,-0.2810502,-0.2771447
6.9438703,-0.2810775,-0.2776774
6.9738725,-0.2811022,-0.2781787
7.0048745,-0.2812864,-0.2785873
7.0368757,-0.2814807,-0.2789378
7.0658780,-0.281741,-0.279204
7.0998801,-0.2820859,-0.2794204
7.1318851,-0.282533,-0.2796154
7.1608835,-0.283132,-0.2797848
7.2258872,-0.2843177,-0.2799514
7.2548888,-0.2855369,-0.2801278
7.2988912,-0.2865355,-0.2803343
7.3278935,-0.2871221,-0.2805594
7.3898979,-0.2874017,-0.2807845
7.4218983,-0.2874613,-0.2811405
7.4639025,-0.2873816,-0.2814806
7.5269053,-0.2872074,-0.2818052
7.5709074,-0.2870119,-0.282132
7.6029097,-0.2868226,-0.2824238
7.6309113,-0.2866302,-0.2826765
7.6639135,-0.286441,-0.2828981
7.6979148,-0.2862628,-0.2831007
7.7319169,-0.2861031,-0.2832687
7.7599189,-0.2859747,-0.2834236
7.8219226,-0.2858758,-0.2836012
7.8389248,-0.2858035,-0.2837583
7.8689254,-0.2857594,-0.2838942
7.8999271,-0.2857566,-0.284021
7.9279291,-0.285773,-0.2841392
7.9619300,-0.2858118,-0.2842454
8.0249352,-0.2858785,-0.2843371
8.0689364,-0.2859508,-0.2844206
8.1009391,-0.2860321,-0.2845033
8.1289408,-0.2861163,-0.2845776
8.1619422,-0.2861977,-0.2846458
8.2249477,-0.2862681,-0.2846958
8.2519483,-0.2863359,-0.2847391
8.2689489,-0.2863982,-0.2847783
8.2999510,-0.2864572,-0.284818
8.3289525,-0.2865071,-0.28485
8.3799560,-0.2865503,-0.284878
8.4249625,-0.2865888,-0.2849028
8.4519631,-0.2866317,-0.2849244
8.4679608,-0.2866701,-0.2849453
8.4989625,-0.2867076,-0.2849638
8.5319643,-0.286742,-0.2849807
8.5649673,-0.2867751,-0.2849961
8.5969680,-0.2868178,-0.2850167
8.6299702,-0.2868583,-0.2850352
8.6939741,-0.2868985,-0.2850534
8.7379776,-0.2869369,-0.2850705
8.7699780,-0.2869779,-0.2850843
8.7979801,-0.2870198,-0.2851008
8.8309826,-0.2870602,-0.285116
8.8659842,-0.287106,-0.2851291
8.8989856,-0.2871476,-0.2851418
8.9319882,-0.2871902,-0.2851562
8.9669898,-0.2872347,-0.2851797
8.9999920,-0.2872807,-0.2852
9.0289935,-0.2873193,-0.2852222
9.0929969,-0.2873559,-0.2852401
9.1210009,-0.2874065,-0.2852596
9.1369997,-0.2874936,-0.2852785
9.1690024,-0.2874831,-0.2852831
9.2000041,-0.2871272,-0.2852763
9.2300063,-0.2866876,-0.2851816
9.2650082,-0.2861871,-0.2841123
9.2980093,-0.2856367,-0.2816265
9.3320117,-0.284808,-0.2807688
9.3690169,-0.284529,-0.2790168
9.4030159,-0.2869177,-0.276506
9.4370176,-0.2927003,-0.2776366
9.4740201,-0.2967233,-0.2823028
9.5090224,-0.3141617,-0.2906925
9.5430245,-0.323631,-0.303606
9.5800266,-0.327365,-0.3127207
9.6120285,-0.3292711,-0.317175
9.6470301,-0.320249,-0.3098678
9.6860334,-0.2959666,-0.2884581
9.7250349,-0.2607534,-0.2625825
9.7620401,-0.2238256,-0.2173163
9.8000428,-0.05975445,-0.0529135
9.8320413,0.03792961,0.04699385
9.8660468,0.07136998,0.1633588
9.9010465,0.1297983,0.3152856
9.9330473,0.153297,0.3186045
9.9650526,0.1695682,0.3163697
10.0000523,0.1534529,0.3373719
10.0320569,0.1366152,0.28098
10.0640554,0.1237823,0.2785689
10.0980571,0.07165786,0.09594043
10.1310593,-0.03830015,-0.001088653
10.1660608,-0.1649837,-0.1648462
10.2040632,-0.2649597,-0.2740804
10.2400654,-0.2757954,-0.2913389
10.2760680,-0.3004878,-0.3081122
10.3150699,-0.3187493,-0.3204844
10.3530722,-0.338264,-0.3704515
10.3950741,-0.3627623,-0.3980038
10.4360769,-0.3786915,-0.4130669
10.4730790,-0.3884858,-0.4219106
10.5090808,-0.3956577,-0.4255484
10.5460833,-0.3986833,-0.4231
10.5790855,-0.3902654,-0.4057913
10.6110870,-0.3700486,-0.3762914
10.6490898,-0.3430518,-0.3452518
10.6850927,-0.3106925,-0.3139722
10.7240934,-0.2759956,-0.2730953
10.7620962,-0.2568229,-0.2518929
10.7980980,-0.2473151,-0.2420668
10.8331004,-0.242605,-0.2392114
10.8721026,-0.2420926,-0.2420704
10.9081052,-0.2477645,-0.2490015
10.9431068,-0.2535593,-0.2553324
10.9821109,-0.2587786,-0.2607464
11.0221111,-0.2634751,-0.2655768
11.0571212,-0.2674301,-0.2696521
11.0951158,-0.270745,-0.2729896
11.1281226,-0.2732553,-0.2756802
11.1601200,-0.2750551,-0.2777946
11.1951219,-0.276375,-0.2792914
11.2271238,-0.2773024,-0.280339
11.2911285,-0.27792,-0.2810587
11.3201296,-0.2783529,-0.2815365
11.3521311,-0.2786636,-0.2818478
11.3871327,-0.2788886,-0.2820362
11.4181363,-0.279056,-0.2821402
11.4481369,-0.2792197,-0.2822231
11.4811387,-0.2793582,-0.2823254
11.5111405,-0.2794749,-0.2824046
11.5411461,-0.2795755,-0.2824669
